CircleName,Radius
SAY,3.798716572
PSN,9.958397174
JDP,5.142710988
AUO,3.319583841
OHG,1.138394965
MXL,2.171867077
ECS,5.220151551
NJT,1.006460535
VKQ,2.130843923
FWN,5.927454293
IOP,2.785949921
ERZ,7.951552745
IYP,7.699646666
DLL,2.313657653
CXH,3.811443291
YYE,6.387323282
JTK,8.071234468
VOZ,5.855991575
QDP,1.502862793
NSJ,5.448437473
MOY,8.882382422
GRD,3.879515531
BAM,2.424243183
YVF,7.944377203
QTS,2.769431594
IKA,4.856204219
PBD,5.239461953
AEI,4.655415584
KZD,4.37202287
RCD,2.428328858
ECL,3.835785853
DKZ,5.923403739
BRQ,6.143609011
RKP,3.967456755
ILD,2.8549402
WLS,5.65971125
VVY,9.108750622
DOR,2.891890117
FEJ,6.603429434
JVU,8.934618474
OMQ,1.638269161
DCZ,2.206212192
GUL,8.580043298
ZAX,5.870170149
DLB,6.492912306
EGC,5.757977104
DWP,3.977615659
JPD,1.574399781
RPN,8.641815058
EXF,1.385272628
YCN,9.598447904
JTF,4.867077742
OOR,3.043489951
NDQ,3.844416433
TZC,3.493020582
HJZ,8.102534438
EZZ,5.19913312
GTM,8.803676263
DIZ,4.162489996
HNE,5.358216346
WZM,7.287603584
XSA,3.383082199
ESN,6.55179448
KPK,5.223292083
VFS,6.328226206
LJA,2.185221773
VKQ,9.498624051
NFC,5.240788595
GBT,9.109064515
ZKC,4.698866679
HTK,8.838044936
ZNG,3.996279795
LBD,9.976698319
JGW,3.934364679
RXU,7.654479137
ZRR,4.641812144
HBA,2.75080007
ZQT,8.498572164
EBY,1.764559629
EVX,9.01791811
HAA,9.674293259
NHC,7.852416894
SMZ,7.728202898
KXW,5.654502747
CBR,8.84065312
XBH,2.664306219
ZGV,1.799418526
ELH,1.983863254
HAZ,6.234020198
BCH,4.041159174
PXR,2.658745855
SZO,2.824199883
EJG,2.488443789
DRP,6.957371466
IPA,5.853089262
PVZ,7.798121748
SQR,5.133238561
NSM,9.761868257
SXE,6.774163755
JNT,2.823492458
